instance_id,run_name,run_version,model,reasoning_effort,inference_mode,paper_compliant,score,resolved,almost_resolved,evaluator_problem,error_code,n_system_errors,n_warnings,n_resolved_tests,n_tests,calls,wall_clock_seconds,estimated_cost_usd,host_system,host_machine,docker_cpus,docker_memory,pricing_source,prompt,prompt_path,prompt_sha256
arq5x__bedtools2.dd57059,cpx62-miniswecompat-xhigh-20260517T094700Z-arq5x-bedtools2-attempt-2,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.402659069325736,False,False,False,,0,0,424,1053,55,850,4.9141,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
arthursonzogni__json-tui.17a22b6,cpx62-miniswecompat-xhigh-20260517T094700Z-arthursonzogni-json-tui-attempt-2,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.8821192052980132,False,False,False,,0,0,666,755,77,594,4.1024,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
ast-grep__ast-grep.dde0fe0,cpx62-miniswecompat-xhigh-20260517T094700Z-ast-grep-ast-grep-attempt-2,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.24603174603174602,False,False,False,,0,0,217,882,77,822,4.7069,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
astaxie__bat.17d1080,cpx62-miniswecompat-xhigh-20260517T094700Z-astaxie-bat-attempt-2,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.7974335472043996,False,False,False,,0,0,870,1091,43,525,2.7559,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
astro__deadnix.d590041,cpx62-miniswecompat-xhigh-20260517T094700Z-astro-deadnix-attempt-2,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.915282392026578,False,False,False,,0,0,551,602,49,758,3.6285,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
axodotdev__oranda.27d60c7,cpx62-miniswecompat-xhigh-20260517T094700Z-axodotdev-oranda-attempt-2,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.4041720990873533,False,False,False,,0,0,310,767,63,854,3.8326,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
bellard__quickjs.d7ae12a,cpx62-miniswecompat-xhigh-20260517T094700Z-bellard-quickjs-attempt-3,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.0,False,False,False,,0,0,0,3034,118,958,6.7558,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
bensadeh__tailspin.6278437,cpx62-miniswecompat-xhigh-20260517T094700Z-bensadeh-tailspin,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.8097560975609757,False,False,False,,0,0,498,615,84,1132,7.0305,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
blacknon__hwatch.edfcb62,cpx62-miniswecompat-xhigh-20260517T094700Z-blacknon-hwatch,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.797244094488189,False,False,False,,0,0,810,1016,82,647,3.8672,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
blake3-team__blake3.15e83a5,cpx62-miniswecompat-xhigh-20260517T094700Z-blake3-team-blake3,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.9629057187017002,False,True,False,,0,0,623,647,97,901,5.7514,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
bootandy__dust.62bf1e1,cpx62-miniswecompat-xhigh-20260517T094700Z-bootandy-dust,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.7534246575342466,False,False,False,,0,0,440,584,107,1262,6.8461,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
boyter__scc.515f91c,cpx62-miniswecompat-xhigh-20260517T094700Z-boyter-scc,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.3793103448275862,False,False,False,,0,0,176,464,87,803,5.8175,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
brocode__fblog.3b54330,cpx62-miniswecompat-xhigh-20260517T094700Z-brocode-fblog,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.8670756646216768,False,False,False,,0,0,848,978,49,697,3.2581,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
burntsushi__ripgrep.3b7fd44,cpx62-miniswecompat-xhigh-20260517T094700Z-burntsushi-ripgrep,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.8194583751253761,False,False,False,,0,0,1634,1994,108,1032,8.0008,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
burntsushi__xsv.f430466,cpx62-miniswecompat-xhigh-20260517T094700Z-burntsushi-xsv,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.8883248730964467,False,False,False,,0,0,1050,1182,85,885,3.9997,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
byron__dua-cli.8570c15,cpx62-miniswecompat-xhigh-20260517T094700Z-byron-dua-cli,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.8758815232722144,False,False,False,,0,0,621,709,59,820,3.6574,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
canop__broot.d6c798e,cpx62-miniswecompat-xhigh-20260517T094700Z-canop-broot,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.6178107606679035,False,False,False,,0,0,333,539,52,626,4.7972,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
canop__rhit.ae90bcb,cpx62-miniswecompat-xhigh-20260517T094700Z-canop-rhit,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.7466340269277846,False,False,False,,0,0,610,817,81,805,5.4016,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
cheat__cheat.b8098dc,cpx62-miniswecompat-xhigh-20260517T094700Z-cheat-cheat,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.6936026936026936,False,False,False,,0,0,206,297,116,1072,6.8055,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
chirlu__sox.42b3557,cpx62-miniswecompat-xhigh-20260517T094700Z-chirlu-sox,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.5033277870216306,False,False,False,,0,0,605,1202,65,954,5.0401,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
chmln__handlr.90e78ba,cpx62-miniswecompat-xhigh-20260517T094700Z-chmln-handlr,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.8448753462603878,False,False,False,,0,0,610,722,125,1408,6.8924,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
chmln__sd.87d1ba5,cpx62-miniswecompat-xhigh-20260517T094700Z-chmln-sd,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.9148148148148149,False,False,False,,0,0,741,810,62,733,3.2575,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
clog-tool__clog-cli.7066cba,cpx62-miniswecompat-xhigh-20260517T094700Z-clog-tool-clog-cli,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.9217391304347826,False,False,False,,0,0,530,575,83,978,5.007,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
cmatsuoka__figlet.202a0a8,cpx62-miniswecompat-xhigh-20260517T094700Z-cmatsuoka-figlet,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.8405963302752294,False,False,False,,0,0,733,872,89,1123,7.3406,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
codesnap-rs__codesnap.f81e4f3,cpx62-miniswecompat-xhigh-20260517T094700Z-codesnap-rs-codesnap,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.7688266199649737,False,False,False,,0,0,439,571,36,573,3.3166,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
cordx56__rustowl.655bc5c,cpx62-miniswecompat-xhigh-20260517T094700Z-cordx56-rustowl,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.6536502546689303,False,False,False,,0,0,385,589,54,722,3.89,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
crowdagger__crowbook.ea214d7,cpx62-miniswecompat-xhigh-20260517T094700Z-crowdagger-crowbook,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.5985130111524164,False,False,False,,0,0,483,807,68,886,4.6202,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
cslarsen__jp2a.61d205f,cpx62-miniswecompat-xhigh-20260517T094700Z-cslarsen-jp2a,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.4706814580031696,False,False,False,,0,0,297,631,82,992,5.165,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
cweill__gotests.2a672c5,cpx62-miniswecompat-xhigh-20260517T094700Z-cweill-gotests,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.6285240464344942,False,False,False,,0,0,379,603,89,806,4.7087,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
dalance__amber.69a0f52,cpx62-miniswecompat-xhigh-20260517T094700Z-dalance-amber,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.1929203539823009,False,False,True,,0,0,109,565,47,541,2.6807,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
dandavison__delta.acd758f,cpx62-miniswecompat-xhigh-20260517T094700Z-dandavison-delta,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.3589473684210526,False,False,False,,0,0,341,950,46,707,4.5611,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
danmar__cppcheck.0a5b103,cpx62-miniswecompat-xhigh-20260517T094700Z-danmar-cppcheck,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.05268109125117592,False,False,False,,0,0,112,2126,84,731,4.0401,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
direnv__direnv.02040c7,cpx62-miniswecompat-xhigh-20260517T094700Z-direnv-direnv,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.6607773851590106,False,False,False,,0,0,561,849,71,1121,5.6816,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
doxygen__doxygen.966d98e,cpx62-miniswecompat-xhigh-20260517T094700Z-doxygen-doxygen,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.3406113537117904,False,False,False,,0,0,78,229,50,537,3.112,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
drew-alleman__datasurgeon.d257cee,cpx62-miniswecompat-xhigh-20260517T094700Z-drew-alleman-datasurgeon-attempt-3,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.7290836653386454,False,False,False,,0,0,366,502,79,767,4.6128,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
ducaale__xh.4a6e44f,cpx62-miniswecompat-xhigh-20260517T094700Z-ducaale-xh,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.49444918872758326,False,False,False,,0,0,579,1171,139,1143,8.6291,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
duckdb__duckdb.bdb65ec,cpx62-miniswecompat-xhigh-20260517T094700Z-duckdb-duckdb,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.16265486725663716,False,False,False,,0,0,919,5650,121,1035,6.7718,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
dundee__gdu.ede21d2,cpx62-miniswecompat-xhigh-20260517T094700Z-dundee-gdu,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.7286821705426356,False,False,False,,0,0,846,1161,83,888,4.4979,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
ecumene__rust-sloth.051c559,cpx62-miniswecompat-xhigh-20260517T094700Z-ecumene-rust-sloth,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.6447368421052632,False,False,False,,0,0,245,380,82,1071,5.9332,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
ekzhang__bore.8e059cd,cpx62-miniswecompat-xhigh-20260517T094700Z-ekzhang-bore,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.8781725888324873,False,False,False,,0,0,346,394,77,801,3.7228,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
eliukblau__pixterm.1a93fd5,cpx62-miniswecompat-xhigh-20260517T094700Z-eliukblau-pixterm,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.7930232558139535,False,False,False,,0,0,341,430,72,895,4.6307,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
elkowar__pipr.fae0b17,cpx62-miniswecompat-xhigh-20260517T094700Z-elkowar-pipr,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.4438095238095238,False,False,False,,0,0,233,525,78,725,3.5482,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
epistates__treemd.825c6dd,cpx62-miniswecompat-xhigh-20260517T094700Z-epistates-treemd,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.5940089228808159,False,False,False,,0,0,932,1569,92,825,4.9603,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
eradman__entr.8e2e8b4,cpx62-miniswecompat-xhigh-20260517T094700Z-eradman-entr,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.8515358361774744,False,False,False,,0,0,499,586,93,1126,5.5354,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
